yearNum,formattedYear,era,isoYear,BC-AD,peopleBorn,peopleDied,events,booksWritten,modified
-1817,1817 BC,,-1816,BC,,eber_1030,,,2020-05-17 01:14
-1785,1785 BC,,-1784,BC,,,,,2019-07-22 00:52
-1777,1777 BC,,-1776,BC,,,,,2020-09-02 01:56
-1776,1776 BC,,-1775,BC,,,,,2020-09-02 01:56
-1775,1775 BC,,-1774,BC,,,,,2020-09-02 01:56
-1774,1774 BC,,-1773,BC,,,,,2020-09-02 01:55
-1773,1773 BC,,-1772,BC,,ishmael_630,,,2020-09-02 16:46
-1772,1772 BC,,-1771,BC,,,,,2020-09-02 01:58
-1771,1771 BC,,-1770,BC,,,,,2020-09-02 01:58
-1767,1767 BC,,-1766,BC,,,,,2020-09-02 01:57
-1765,1765 BC,,-1764,BC,,,,,2020-09-02 01:58
-1756,1756 BC,,-1755,BC,"reuben_2429,levi_1820",,,,2020-09-02 01:57
-1745,1745 BC,,-1744,BC,joseph_1710,,,,2019-07-22 00:52
-1744,1744 BC,,-1743,BC,,,,,2019-07-22 00:52
-1739,1739 BC,,-1738,BC,benjamin_463,rachel_2386,,,2020-09-07 01:34
-1734,1734 BC,,-1733,BC,,,,,2019-07-22 00:52
-1716,1716 BC,,-1715,BC,,isaac_616,,,2019-07-22 00:52
-1715,1715 BC,,-1714,BC,,,,,2019-07-22 00:52
-1709,1709 BC,,-1708,BC,manasseh_1928,,,,2019-07-22 00:52
-1708,1708 BC,,-1707,BC,ephraim_1206,,,,2019-07-22 00:52
-1689,1689 BC,,-1688,BC,,israel_682,,,2019-07-22 00:52
-1688,1688 BC,,-1687,BC,,,,,2019-07-22 00:52
-1635,1635 BC,,-1634,BC,,joseph_1710,,,2019-07-22 00:52
-1634,1634 BC,,-1633,BC,,,,,2019-07-22 00:52
-1591,1591 BC,,-1590,BC,,,,,2019-07-22 00:52
-1574,1574 BC,,-1573,BC,aaron_1,,,,2019-07-22 00:52
