"Testament","Division","Book","Chapter","Writer","Verses (KJV)","Words (KJV)","Sentences (KJV)","Paragraphs (KJV)"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-063","David","11","206","10","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-064","David","10","192","9","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-065","David","13","277","12","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-066","Anonymous","20","335","21","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-067","Anonymous","7","121","9","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-068","David","35","708","36","6"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-069","David","36","680","37","5"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-070","David","5","114","6","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-071","Anonymous","24","471","23","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-072","Solomon","20","373","21","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-073","Asaph","28","427","31","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-074","Asaph","23","416","27","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-075","Asaph","10","200","11","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-076","Asaph","12","205","14","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-077","Asaph","20","340","27","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-078","Asaph","72","1228","56","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-079","Asaph","13","281","16","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-080","Asaph","19","344","19","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-081","Asaph","16","298","17","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-082","Asaph","8","120","10","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-083","Asaph","18","279","13","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-084","Anonymous","12","239","16","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-085","Anonymous","13","218","16","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-086","David","17","316","18","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-087","Anonymous","7","122","10","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-088","Heman the Ezrahite, Sons of Korah","18","317","22","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-089","Ethan the Ezrahite","52","884","58","6"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-090","Moses","17","328","20","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-091","Anonymous","16","288","14","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-092","Anonymous","15","266","13","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-093","Anonymous","5","92","5","1"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-094","Anonymous","23","356","26","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-095","David","11","199","9","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-096","Anonymous","13","226","12","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-097","Anonymous","12","189","12","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-098","Anonymous","9","172","9","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-099","Anonymous","9","157","9","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-100","Anonymous","5","90","6","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-101","David","8","177","11","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-102","Anonymous","28","472","24","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-103","David","22","346","19","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-104","Anonymous","35","598","34","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-105","Anonymous","45","632","34","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-106","Anonymous","48","762","42","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-107","Anonymous","43","685","37","5"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-108","David","13","212","14","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-109","David","31","542","30","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-110","David","7","146","8","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-111","Anonymous","10","177","11","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-112","Anonymous","10","172","11","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-113","Anonymous","9","142","9","1"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-114","Anonymous","8","106","7","1"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-115","Anonymous","18","274","17","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-116","Anonymous","19","287","18","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-117","Anonymous","2","33","3","1"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-118","Anonymous","29","465","28","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-119","Anonymous","176","2445","202","148"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-120","Anonymous","7","92","9","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-121","Anonymous","8","114","9","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-122","David","9","130","9","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-123","Anonymous","4","98","5","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-124","David","8","127","5","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-125","Anonymous","5","112","6","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-126","Anonymous","6","98","7","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-127","Solomon","5","116","6","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-128","","6","105","7","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-129","","8","123","7","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-130","","8","120","9","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-131","","3","66","4","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-132","","18","280","15","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-133","","3","75","3","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-134","","3","48","4","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-135","","21","329","18","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-136","","26","353","14","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-137","","9","165","9","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-138","","8","176","9","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-139","","24","418","26","4"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-140","","13","247","16","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-141","","10","207","11","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-142","","7","162","9","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-143","","12","256","14","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-144","","15","306","12","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-145","","21","335","21","3"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-146","","10","178","9","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-147","","20","299","20","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-148","","14","202","10","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-149","","9","143","8","2"
"Old Testament","Poetry-Wisdom","19-Psalms","19-Ps.-150","","6","85","8","1"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-001","Solomon","33","519","17","4"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-002","Solomon","22","309","11","2"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-003","Solomon","35","541","30","5"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-004","Solomon","27","418","27","3"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-005","Solomon","23","354","16","2"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-006","Solomon","35","546","25","4"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-007","Solomon","27","411","18","3"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-008","Solomon","36","562","31","4"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-009","Solomon","18","288","12","2"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-010","Solomon","32","527","33","26"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-011","Solomon","31","524","31","28"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-012","Solomon","28","476","28","28"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-013","Solomon","25","400","25","25"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-014","Solomon","35","572","36","34"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-015","Solomon","33","544","33","32"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-016","Solomon","33","543","34","30"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-017","Solomon","28","476","28","27"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-018","Solomon","24","381","24","23"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-019","Solomon","29","506","30","28"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-020","Solomon","30","498","30","30"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-021","Solomon","31","501","31","29"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-022","Solomon","29","495","27","22"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-023","Solomon","35","566","38","9"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-024","Solomon","34","580","27","14"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-025","Solomon","28","522","26","21"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-026","Solomon","28","459","27","19"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-027","Solomon","27","460","27","19"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-028","Solomon","28","528","28","28"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-029","Solomon","27","425","28","27"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-030","Agur","33","640","27","7"
"Old Testament","Poetry-Wisdom","20-Proverbs","20-Pro-031","Lemuel","31","467","33","2"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-001","Solomon","18","380","19","4"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-002","Solomon","26","734","32","3"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-003","Solomon","22","517","15","3"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-004","Solomon","16","380","19","4"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-005","Solomon","20","533","20","4"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-006","Solomon","12","301","13","3"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-007","Solomon","29","617","27","4"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-008","Solomon","17","515","17","4"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-009","Solomon","18","555","16","4"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-010","Solomon","20","402","19","4"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-011","Solomon","10","273","10","2"
"Old Testament","Poetry-Wisdom","21-Ecclesiastes","21-Ecc-012","Solomon","14","372","9","3"
"Old Testament","Poetry-Wisdom","22-Song of Solomon","22-Son-001","Solomon","17","326","17","4"
"Old Testament","Poetry-Wisdom","22-Song of Solomon","22-Son-002","Solomon","17","351","18","4"
"Old Testament","Poetry-Wisdom","22-Song of Solomon","22-Son-003","Solomon","11","287","11","3"
"Old Testament","Poetry-Wisdom","22-Song of Solomon","22-Son-004","Solomon","16","363","17","3"
"Old Testament","Poetry-Wisdom","22-Song of Solomon","22-Son-005","Solomon","16","397","19","3"
"Old Testament","Poetry-Wisdom","22-Song of Solomon","22-Son-006","Solomon","13","282","18","3"
"Old Testament","Poetry-Wisdom","22-Song of Solomon","22-Son-007","Solomon","13","292","13","2"
"Old Testament","Poetry-Wisdom","22-Song of Solomon","22-Son-008","Solomon","14","360","16","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-001","Isaiah","31","758","29","5"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-002","Isaiah","22","567","15","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-003","Isaiah","26","587","22","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-004","Isaiah","6","209","5","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-005","Isaiah","30","863","25","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-006","Isaiah","13","366","14","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-007","Isaiah","25","693","22","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-008","Isaiah","22","558","20","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-009","Isaiah","21","599","22","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-010","Isaiah","34","928","36","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-011","Isaiah","16","519","13","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-012","Isaiah","6","134","6","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-013","Isaiah","22","576","21","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-014","Isaiah","32","856","33","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-015","Isaiah","9","266","9","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-016","Isaiah","14","415","14","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-017","Isaiah","14","428","15","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-018","Isaiah","7","255","6","1"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-019","Isaiah","25","730","27","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-020","Isaiah","6","169","5","1"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-021","Isaiah","17","417","20","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-022","Isaiah","25","676","24","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-023","Isaiah","18","469","20","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-024","Isaiah","23","592","25","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-025","Isaiah","12","381","12","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-026","Isaiah","21","550","21","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-027","Isaiah","13","405","15","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-028","Isaiah","29","814","28","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-029","Isaiah","24","742","24","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-030","Isaiah","33","1059","26","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-031","Isaiah","9","322","10","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-032","Isaiah","20","436","17","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-033","Isaiah","24","585","29","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-034","Isaiah","17","522","17","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-035","Isaiah","10","277","9","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-036","Isaiah","22","690","27","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-037","Isaiah","38","1131","37","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-038","Isaiah","22","592","22","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-039","Isaiah","8","268","11","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-040","Isaiah","31","796","36","6"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-041","Isaiah","29","804","32","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-042","Isaiah","25","676","29","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-043","Isaiah","28","711","28","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-044","Isaiah","28","886","26","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-045","Isaiah","25","774","30","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-046","Isaiah","13","342","9","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-047","Isaiah","15","471","16","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-048","Isaiah","22","627","24","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-049","Isaiah","26","867","29","5"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-050","Isaiah","11","365","22","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-051","Isaiah","23","771","23","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-052","Isaiah","15","405","15","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-053","Isaiah","12","387","14","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-054","Isaiah","17","493","17","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-055","Isaiah","13","399","13","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-056","Isaiah","12","361","10","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-057","Isaiah","21","569","23","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-058","Isaiah","14","521","19","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-059","Isaiah","21","590","20","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-060","Isaiah","22","665","22","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-061","Isaiah","11","380","9","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-062","Isaiah","12","362","10","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-063","Isaiah","19","538","24","3"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-064","Isaiah","12","308","12","2"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-065","Isaiah","25","753","21","4"
"Old Testament","Major Prophets","23-Isaiah","23-Isa-066","Isaiah","24","811","31","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-001","Jeremiah","19","528","21","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-002","Jeremiah","37","1019","49","5"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-003","Jeremiah","25","802","34","4"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-004","Jeremiah","31","861","37","4"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-005","Jeremiah","31","874","33","4"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-006","Jeremiah","30","827","37","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-007","Jeremiah","34","970","29","4"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-008","Jeremiah","22","706","30","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-009","Jeremiah","26","772","25","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-010","Jeremiah","25","674","27","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-011","Jeremiah","23","749","19","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-012","Jeremiah","17","544","20","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-013","Jeremiah","27","739","31","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-014","Jeremiah","22","688","32","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-015","Jeremiah","21","702","26","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-016","Jeremiah","21","699","17","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-017","Jeremiah","27","829","23","4"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-018","Jeremiah","23","659","24","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-019","Jeremiah","15","541","8","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-020","Jeremiah","18","594","21","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-021","Jeremiah","14","498","12","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-022","Jeremiah","30","837","33","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-023","Jeremiah","40","1186","49","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-024","Jeremiah","10","361","9","1"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-025","Jeremiah","38","1138","26","4"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-026","Jeremiah","24","800","20","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-027","Jeremiah","22","762","14","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-028","Jeremiah","17","540","13","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-029","Jeremiah","32","1005","17","4"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-030","Jeremiah","24","717","26","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-031","Jeremiah","40","1294","40","5"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-032","Jeremiah","44","1432","26","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-033","Jeremiah","26","842","19","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-034","Jeremiah","22","824","13","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-035","Jeremiah","19","657","11","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-036","Jeremiah","32","1110","31","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-037","Jeremiah","21","611","21","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-038","Jeremiah","28","984","27","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-039","Jeremiah","18","545","15","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-040","Jeremiah","16","681","16","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-041","Jeremiah","18","664","15","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-042","Jeremiah","22","774","15","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-043","Jeremiah","13","460","8","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-044","Jeremiah","30","1228","22","3"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-045","Jeremiah","5","152","5","1"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-046","Jeremiah","28","821","28","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-047","Jeremiah","7","215","8","1"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-048","Jeremiah","47","1172","51","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-049","Jeremiah","39","1180","48","5"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-050","Jeremiah","46","1460","50","4"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-051","Jeremiah","64","1853","59","2"
"Old Testament","Major Prophets","24-Jeremiah","24-Jer-052","Jeremiah","34","1074","30","4"
"Old Testament","Poetry-Wisdom","25-Lamentations","25-Lam-001","Jeremiah","22","758","26","2"
"Old Testament","Poetry-Wisdom","25-Lamentations","25-Lam-002","Jeremiah","22","883","28","2"
"Old Testament","Poetry-Wisdom","25-Lamentations","25-Lam-003","Jeremiah","66","876","60","5"
"Old Testament","Poetry-Wisdom","25-Lamentations","25-Lam-004","Jeremiah","22","598","22","3"
"Old Testament","Poetry-Wisdom","25-Lamentations","25-Lam-005","Jeremiah","22","296","22","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-001","Ezekiel","28","870","30","4"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-002","Ezekiel","10","273","10","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-003","Ezekiel","27","809","26","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-004","Ezekiel","17","519","17","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-005","Ezekiel","17","628","17","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-006","Ezekiel","14","470","13","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-007","Ezekiel","27","768","26","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-008","Ezekiel","18","655","25","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-009","Ezekiel","11","400","13","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-010","Ezekiel","22","659","24","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-011","Ezekiel","25","721","24","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-012","Ezekiel","28","799","22","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-013","Ezekiel","23","738","18","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-014","Ezekiel","23","746","14","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-015","Ezekiel","8","205","9","1"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-016","Ezekiel","63","1820","53","6"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-017","Ezekiel","24","773","24","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-018","Ezekiel","32","919","32","4"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-019","Ezekiel","14","356","15","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-020","Ezekiel","49","1601","42","6"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-021","Ezekiel","32","945","29","4"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-022","Ezekiel","31","840","30","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-023","Ezekiel","49","1322","41","4"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-024","Ezekiel","27","774","23","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-025","Ezekiel","17","507","9","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-026","Ezekiel","21","727","17","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-027","Ezekiel","36","907","32","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-028","Ezekiel","26","809","18","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-029","Ezekiel","21","714","16","3"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-030","Ezekiel","26","760","24","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-031","Ezekiel","18","680","17","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-032","Ezekiel","32","1077","30","2"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-033","Ezekiel","33","1071","30","4"
"Old Testament","Major Prophets","26-Ezekiel","26-Eze-034","Ezekiel","31","958","28","3"
