groupName,members,partOf,verses,events,modified,events_dev
Tribe of Naphtali,"guni_1330,jahzeel_706,jezer_1606,naphtali_2149,shillem_2677",Nation of Israel,,,2020-09-13 02:02,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Tribe of Simeon,"hamuel_1366,jachin_679,jamin_720,jemuel_838,mibsam_2047,mishma_2095,ohad_2239,shallum_2518,shaul_2562,shimei_2687,simeon_2741,zacchur_2962,zerah_3102",Nation of Israel,,,2020-09-13 02:02,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Tribe of Issachar,"ishiah_627,issachar_645,izrahiah_659,jahmai_705,jashub_1638,jeriel_862,jibsam_1614,joel_1652,michael_2062,obadiah_2217,puah_2355,rephaiah_2425,shemuel_2654,shimron_2706,tola_2878,uzzi_2918",Nation of Israel,,,2020-09-13 02:02,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Apostles,"peter_2745,andrew_264,john_1677,lebbaeus_1815,james_718,matthew_1971,thomas_2851,bartholomew_405,philip_2344,judas_1760,simon_2746,james_719",,,,2025-07-31 05:11,"First Passover and Temple Cleansing,Corn on the Sabbath,Healing Multitudes,Apostles Chosen,Sermon on the Mount,Bread of Life Sermon,Feeding of Four Thousand,Discourse with Pharisees and Saducees,""Peter's Confession """"Upon this Rock"""""",Foretelling the Death and Resurrection,Healing a Boy with a Demon,Second Foretelling of Death and Resurrection,Tax Coin in a Fish's Mouth,Teachings on Humility/Temptation/Reconciliation,70 Sent Out,Teaching and Healing in Perea to Jerusalem,Jesus Withdraws to Ephraim,Triumphal Entry,Fig Tree Cursed,Temple Cleansed,Teaching by the Fig Tree,Debates in the Temple,Olivet Discourse,The Last Supper,Prayer and Betrayal in Gethsemane"
Apostles (The Eleven),"peter_2745,andrew_264,john_1677,lebbaeus_1815,james_718,matthew_1971,thomas_2851,bartholomew_405,philip_2344,simon_2746,james_719",,,"The Holy Spirit is promised, Jesus ascends to Heaven, Matthias replaces Judas",2025-08-21 23:23,"The Holy Spirit is promised,Jesus ascends to Heaven,Matthias replaces Judas,Upper Room Discourse,Jewish Trials,Resurrection and Ascension"
Apostles (Post-Ascension),"matthias_1972,peter_2745,andrew_264,john_1677,lebbaeus_1815,james_718,matthew_1971,thomas_2851,bartholomew_405,philip_2344,simon_2746,james_719",,,"The Holy Spirit comes, Matthias replaces Judas, Apostles work signs and wonders in Solomon's Portico, ""Apostles arrested, put on trial"", Gamaliel advises the counsel and Apostles freed, Seven chosen to serve, Jerusalem Council",2023-12-02 23:09,"Matthias replaces Judas,The Holy Spirit comes,Apostles work signs and wonders in Solomon's Portico,""Apostles arrested, put on trial"",Gamaliel advises the counsel and Apostles freed,Seven chosen to serve,Jerusalem Council"
Line of Cain,"jabal_673,enoch_1191,irad_611,mehujael_1983,methusael_2041,lamech_1808,jubal_1748,tubal-cain_2884,naamah_2118",,,,2020-05-15 01:39,
Nation of Israel,,,"Ps.14.7,Ps.53.6,Ps.76.1,Ps.78.21,Ps.78.31,Ps.78.41,Ps.81.8,Ps.81.11,Ps.81.13,Ps.89.18,Ps.105.10,Ps.147.19",,2020-09-13 20:09,"Deliverance by Othniel,Subjugation by Eglon,Deliverance by Ehud,Subjugation by Cushan-rishathaim,Subjugation by Jabin,Deliverance by Barak And Deborah,Crossing the Jordan into Canaan,Tabernacle Built,Wilderness Wanderings,Exodus from Egypt,Subjugation by Midian,Deliverance by Gideon,Usurpation by Abimelech,Judgeship of Tola,Judgeship of Jair,Oppression by Ammon and Philistia,Judgeship of Eli,Deliverance by Jephthah,Judgeship of Ibzan,Judgeship of Elon,Judgeship of Abdon,Judgeship of Samson,Philistine Dominion"
Disciples of John,,,,,2021-07-07 20:25,"John the Baptist Witnesses,Fasting Question"
Pharisees,,,,,2025-07-01 13:16,"Corn on the Sabbath,Healing a Withered Hand,Commandments and Tradition Discourse,Discourse with Pharisees and Saducees,Feast of Tabernacles,Woman Caught in Adultery,Light of the World/I am discourse,Blind Man Healed,Woes and Parables with Pharisees,Chief Priests Conspire Against Jesus,Discourse on the Kingdom and Other Parables,Debates in the Temple"
Scribes,,,,,2025-07-04 03:12,"Commandments and Tradition Discourse,Woman Caught in Adultery,Debates in the Temple,Sanhedrin Conspiracy"
Sadducees,,,,,2025-07-01 13:53,"Discourse with Pharisees and Saducees,Debates in the Temple"
Chief Priests,,,,,2025-08-06 21:03,"Debates in the Temple,Sanhedrin Conspiracy,Judas Plans Betrayal,Judas' Suicide"
