osisName,bookOrder,bookName,bookDiv,testament,shortName,slug,yearWritten,placeWritten,chapters,chapterCount,verseCount,writers,peopleCount,placeCount,modified
2Chr,14,2 Chronicles,Historical,Old Testament,2Ch,2chr,,,"2Chr.1,2Chr.2,2Chr.3,2Chr.4,2Chr.5,2Chr.6,2Chr.7,2Chr.8,2Chr.9,2Chr.10,2Chr.11,2Chr.12,2Chr.13,2Chr.14,2Chr.15,2Chr.16,2Chr.17,2Chr.18,2Chr.19,2Chr.20,2Chr.21,2Chr.22,2Chr.23,2Chr.24,2Chr.25,2Chr.26,2Chr.27,2Chr.28,2Chr.29,2Chr.30,2Chr.31,2Chr.32,2Chr.33,2Chr.34,2Chr.35,2Chr.36",36,822,ezra_1245,611,236,
Ezra,15,Ezra,Historical,Old Testament,Ezr,ezra,,,"Ezra.1,Ezra.2,Ezra.3,Ezra.4,Ezra.5,Ezra.6,Ezra.7,Ezra.8,Ezra.9,Ezra.10",10,280,ezra_1245,209,89,
Neh,16,Nehemiah,Historical,Old Testament,Ne,neh,,,"Neh.1,Neh.2,Neh.3,Neh.4,Neh.5,Neh.6,Neh.7,Neh.8,Neh.9,Neh.10,Neh.11,Neh.12,Neh.13",13,406,nehemiah_2172,259,99,
Esth,17,Esther,Historical,Old Testament,Es,esth,,,"Esth.1,Esth.2,Esth.3,Esth.4,Esth.5,Esth.6,Esth.7,Esth.8,Esth.9,Esth.10",10,167,mordecai_2107,119,24,
Job,18,Job,Poetry-Wisdom,Old Testament,Job,job,,,"Job.1,Job.2,Job.3,Job.4,Job.5,Job.6,Job.7,Job.8,Job.9,Job.10,Job.11,Job.12,Job.13,Job.14,Job.15,Job.16,Job.17,Job.18,Job.19,Job.20,Job.21,Job.22,Job.23,Job.24,Job.25,Job.26,Job.27,Job.28,Job.29,Job.30,Job.31,Job.32,Job.33,Job.34,Job.35,Job.36,Job.37,Job.38,Job.39,Job.40,Job.41,Job.42",42,1070,moses_2108,190,6,
Ps,19,Psalms,Poetry-Wisdom,Old Testament,Ps,ps,,,"Ps.1,Ps.2,Ps.3,Ps.4,Ps.5,Ps.6,Ps.7,Ps.8,Ps.9,Ps.10,Ps.11,Ps.12,Ps.13,Ps.14,Ps.15,Ps.16,Ps.17,Ps.18,Ps.19,Ps.20,Ps.21,Ps.22,Ps.23,Ps.24,Ps.25,Ps.26,Ps.27,Ps.28,Ps.29,Ps.30,Ps.31,Ps.32,Ps.33,Ps.34,Ps.35,Ps.36,Ps.37,Ps.38,Ps.39,Ps.40,Ps.41,Ps.42,Ps.43,Ps.44,Ps.45,Ps.46,Ps.47,Ps.48,Ps.49,Ps.50,Ps.51,Ps.52,Ps.53,Ps.54,Ps.55,Ps.56,Ps.57,Ps.58,Ps.59,Ps.60,Ps.61,Ps.62,Ps.63,Ps.64,Ps.65,Ps.66,Ps.67,Ps.68,Ps.69,Ps.70,Ps.71,Ps.72,Ps.73,Ps.74,Ps.75,Ps.76,Ps.77,Ps.78,Ps.79,Ps.80,Ps.81,Ps.82,Ps.83,Ps.84,Ps.85,Ps.86,Ps.87,Ps.88,Ps.89,Ps.90,Ps.91,Ps.92,Ps.93,Ps.94,Ps.95,Ps.96,Ps.97,Ps.98,Ps.99,Ps.100,Ps.101,Ps.102,Ps.103,Ps.104,Ps.105,Ps.106,Ps.107,Ps.108,Ps.109,Ps.110,Ps.111,Ps.112,Ps.113,Ps.114,Ps.115,Ps.116,Ps.117,Ps.118,Ps.119,Ps.120,Ps.121,Ps.122,Ps.123,Ps.124,Ps.125,Ps.126,Ps.127,Ps.128,Ps.129,Ps.130,Ps.131,Ps.132,Ps.133,Ps.134,Ps.135,Ps.136,Ps.137,Ps.138,Ps.139,Ps.140,Ps.141,Ps.142,Ps.143,Ps.144,Ps.145,Ps.146,Ps.147,Ps.148,Ps.149,Ps.150",150,2461,"david_994, asaph_330, solomon_2762, heman_1488, ethan_1222, moses_2108",1026,118,
Prov,20,Proverbs,Poetry-Wisdom,Old Testament,Pr,prov,,,"Prov.1,Prov.2,Prov.3,Prov.4,Prov.5,Prov.6,Prov.7,Prov.8,Prov.9,Prov.10,Prov.11,Prov.12,Prov.13,Prov.14,Prov.15,Prov.16,Prov.17,Prov.18,Prov.19,Prov.20,Prov.21,Prov.22,Prov.23,Prov.24,Prov.25,Prov.26,Prov.27,Prov.28,Prov.29,Prov.30,Prov.31",31,915,"solomon_2762, agur_112, lemuel_1817",100,0,
Eccl,21,Ecclesiastes,Poetry-Wisdom,Old Testament,Ec,eccl,,,"Eccl.1,Eccl.2,Eccl.3,Eccl.4,Eccl.5,Eccl.6,Eccl.7,Eccl.8,Eccl.9,Eccl.10,Eccl.11,Eccl.12",12,222,solomon_2762,37,5,
Song,22,Song of Solomon,Poetry-Wisdom,Old Testament,So,song,,,"Song.1,Song.2,Song.3,Song.4,Song.5,Song.6,Song.7,Song.8",8,117,solomon_2762,9,21,
Isa,23,Isaiah,Major Prophets,Old Testament,Is,isa,,,"Isa.1,Isa.2,Isa.3,Isa.4,Isa.5,Isa.6,Isa.7,Isa.8,Isa.9,Isa.10,Isa.11,Isa.12,Isa.13,Isa.14,Isa.15,Isa.16,Isa.17,Isa.18,Isa.19,Isa.20,Isa.21,Isa.22,Isa.23,Isa.24,Isa.25,Isa.26,Isa.27,Isa.28,Isa.29,Isa.30,Isa.31,Isa.32,Isa.33,Isa.34,Isa.35,Isa.36,Isa.37,Isa.38,Isa.39,Isa.40,Isa.41,Isa.42,Isa.43,Isa.44,Isa.45,Isa.46,Isa.47,Isa.48,Isa.49,Isa.50,Isa.51,Isa.52,Isa.53,Isa.54,Isa.55,Isa.56,Isa.57,Isa.58,Isa.59,Isa.60,Isa.61,Isa.62,Isa.63,Isa.64,Isa.65,Isa.66",66,1292,isaiah_617,556,248,
