"PersonID","Alias"
"348","Asriel"
"349","Asshur"
"350","Asshurim"
"351","Assir"
"352","Assir"
"353","Asyncritus"
"354","Atarah"
"355","Ater"
"356","Ater"
"357","Ater"
"358","Athaiah"
"359","Athaliah"
"360","Athaliah"
"361","Athaliah"
"362","Athlai"
"363","Attai"
"364","Attai"
"365","Attai"
"366","Augustus"
"367","Azaliah"
"368","Azaniah"
"369","Azarael"
"370","Azareel"
"371","Azareel"
"372","Azareel"
"373","Azariah"
"374","Azariah"
"375","Azariah"
"376","Azariah"
"377","Azariah"
"378","Azariah"
"379","Azariah"
"380","Azariah"
"381","Azariah"
"382","Azariah"
"383","Azariah"
"384","Azariah"
"385","Azariah"
"386","Azariah"
"387","Balak"
"388","Bani"
"389","Bani"
"390","Bani"
"391","Bani"
"392","Bani"
"393","Bani"
"394","Bani"
"395","Bani"
"396","Bani"
"397","Bani"
"398","Bani"
"399","Barabbas"
"400","Barachel"
"401","Barak"
"402","Bariah"
"404","Barkos"
"405","Bartholomew"
"406","Bartimaeus"
"407","Baruch"
"408","Baruch"
"409","Baruch"
"410","Baruch"
"411","Barzillai"
"412","Barzillai"
"413","Barzillai"
"414","Bashemath"
"415","Basmath"
"416","Bathsheba"
"417","Bavai"
"418","Bazluth"
"419","Bealiah"
"420","Bebai"
"421","Bebai"
"422","Bebai"
"423","Becher"
"424","Becher"
"425","Bechorath"
"426","Bedad"
"427","Bedan"
"428","Bedan"
"429","Bedeiah"
"430","Beera"
"431","Beerah"
"432","Beeri"
"433","Beeri"
"434","Bela"
"435","Bela"
"436","Belah"
"437","Belshazzar"
"438","Ben"
"439","Benaiah"
"440","Benaiah"
"441","Benaiah"
"442","Benaiah"
"443","Benaiah"
"444","Benaiah"
"445","Benaiah"
"446","Benaiah"
"447","Benaiah"
"448","Benaiah"
"449","Benaiah"
"450","Benaiah"
"455","Benhail"
"457","Beninu"
"458","Benjamin"
"459","Benjamin"
"460","Benjamin"
"461","Benjamin"
"462","Beno"
"465","Beor"
"466","Beor"
"467","Bera"
"468","Berachah"
"469","Berachiah"
"470","Beraiah"
"471","Berechiah"
"472","Berechiah"
"473","Berechiah"
"474","Berechiah"
"475","Berechiah"
"476","Bered"
"477","Beri"
"478","Beriah"
"479","Beriah"
"480","Beriah"
"481","Beriah"
"482","Bernice"
"484","Besai"
"485","Besodeiah"
"487","Bethuel"
"488","Bezai"
"489","Bezai"
"490","Bezaleel"
"491","Bezaleel"
"492","Bezer"
"493","Bichri"
"494","Bigtha"
"495","Bigthan"
"496","Bigvai"
"497","Bigvai"
"498","Bigvai"
"499","Bildad"
"500","Bilgah"
"501","Bilgai"
"502","Bilhah"
"503","Bilhan"
"504","Bilhan"
"505","Bilshan"
"506","Bimhal"
"507","Binea"
"508","Binnui"
"509","Binnui"
"510","Binnui"
"511","Binnui"
"512","Binnui"
"513","Birsha"
"514","Birzavith"
"515","Bishlam"
"516","Bithiah"
"517","Biztha"
"518","Blastus"
"519","Boaz"
"520","Bocheru"
"521","Bohan"
"522","Bukki"
"523","Bukki"
"524","Bukkiah"
"525","Bunah"
"526","Bunni"
"527","Bunni"
"528","Bunni"
"529","Buz"
"530","Buz"
"531","Buzi"
"532","Caiaphas"
"533","Cain"
"534","Cainan"
"535","Cainan"
"536","Calcol"
"537","Caleb"
"538","Caleb"
"539","Azariah"
"540","Azariah"
"541","Azariah"
"542","Azariah"
"543","Azariah"
"544","Azariah"
"545","Azariah"
"546","Azaz"
"547","Azaziah"
"548","Azaziah"
"549","Azaziah"
"550","Azbuk"
"551","Azel"
"552","Azgad"
"553","Azgad"
"554","Aziza"
"555","Azmaveth"
"556","Azmaveth"
"557","Azmaveth"
"558","Azmaveth"
"559","Azor"
"560","Azriel"
"561","Azriel"
"562","Azriel"
"563","Azrikam"
"564","Azrikam"
"565","Azrikam"
"566","Azrikam"
"567","Azubah"
"568","Azubah"
"569","Azur"
"570","Azur"
"571","Azzan"
"572","Azzur"
"573","Baal"
"574","Baal"
"575","Baal"
"578","Baalis"
"580","Baana"
"581","Baana"
"582","Baanah"
"583","Baanah"
"584","Baanah"
"585","Baanah"
"586","Baanah"
"587","Baara"
"588","Baaseiah"
"589","Baasha"
"590","Bakbakkar"
"591","Bakbuk"
"592","Bakbukiah"
"593","Balaam"
"594","Baladan"
"595","Igeal"
"596","Ikkesh"
"597","Imlah"
"598","Immer"
"599","Immer"
"600","Immer"
"601","Imna"
"602","Imnah"
"603","Imrah"
"604","Imri"
"605","Imri"
"606","Iphedeiah"
"607","Ir"
"608","Ira"
"609","Ira"
"610","Ira"
"611","Irad"
"612","Iram"
"613","Iri"
"614","Irijah"
"615","Iru"
"616","Isaac"
"617","Isaiah"
"618","Iscah"
"619","Ishbah"
"620","Ishbak"
"623","Ishi"
"624","Ishi"
"625","Ishi"
"626","Ishi"
"627","Ishiah"
"628","Ishijah"
"629","Ishma"
"630","Ishmael"
"631","Ishmael"
"632","Ishmael"
"633","Ishmael"
"634","Ishmael"
"635","Ishmael"
"636","Ishmaiah"
"637","Ishmerai"
"638","Ishod"
"639","Ishpan"
"640","Ishuah"
"641","Ishui"
"642","Ismachiah"
"643","Ismaiah"
"644","Ispah"
"645","Issachar"
"646","Issachar"
"647","Isshiah"
"648","Isui"
"649","Ithamar"
"650","Ithiel"
"651","Ithiel"
"652","Ithmah"
"653","Ithran"
"654","Ithran"
"655","Ithream"
"656","Ittai"
"657","Ittai"
"658","Izhar"
"659","Izrahiah"
"660","Jaakobah"
"661","Jaalah"
"662","Jaalam"
"663","Jaanai"
"665","Jaasau"
"666","Jaasiel"
"667","Jaazaniah"
"668","Jaazaniah"
"669","Jaazaniah"
"670","Jaazaniah"
"671","Jaaziah"
"672","Jaaziel"
"673","Jabal"
"674","Jabesh"
"675","Jabez"
"676","Jabin"
"677","Jabin"
"678","Jachan"
"679","Jachin"
"680","Jachin"
"681","Jachin"
"682","Jacob"
"683","Jacob"
"684","Jada"
"685","Jadau"
"686","Jaddua"
"687","Jaddua"
"688","Jadon"
"689","Jael"
"690","Jahath"
