"PlaceMarkID","Latitude","Longitude","Label"
"182","31.75","35.22","Rephaim"
"183","31.75","34.99","Mahaneh-dan"
"184","31.76","35.74","Abarim"
"185","31.76","34.96","Zorah"
"186","31.76","35.71","Pisgah"
"187","31.76","18.5","Syrtis"
"188","31.76","35.28","Secacah"
"189","31.76","35.23","En-rogel"
"190","31.76","35.72","Zophim"
"191","31.76","35.22","Topheth"
"192","31.77","34.99","Kiriath-jearim"
"193","31.77","35.26","Bethany"
"194","31.77","35.23","Kidron"
"195","31.77","35.23","Gihon"
"196","31.77","35.27","En-shemesh"
"197","31.77","35.59","Beth-jeshimoth"
"198","31.77","35.23","Jerusalem"
"199","31.77","35.23","Moriah"
"200","31.77","34.85","Ekron"
"201","31.77","35.24","Olives"
"202","31.78","35.05","Jearim"
"203","31.78","35.0","Eshtaol"
"204","31.78","34.99","Seir"
"205","31.78","34.9","Timnah"
"206","31.79","35.25","Bethphage"
"207","31.79","35.19","Zela"
"208","31.79","35.23","Nob"
"209","31.8","35.25","Gebim"
"210","31.8","35.8","Heshbon"
"211","31.8","35.15","Mozah"
"212","31.8","34.63","Ashdod"
"213","31.8","34.93","Ashan"
"214","31.81","35.26","Anathoth"
"215","31.81","35.82","Elealeh"
"216","31.81","35.76","Sibmah"
"217","31.81","35.34","Debir"
"218","31.81","35.25","Gallim"
"219","31.81","35.58","Beth-haran"
"220","31.81","35.36","Adummim"
"221","31.82","34.77","Gederah"
"222","31.82","35.07","Ithlah"
"223","31.82","35.23","Gibeah"
"224","31.82","35.38","Bahurim"
"225","31.82","34.98","Sorek"
"226","31.82","35.28","Almon"
"227","31.83","35.18","Mizpah"
"228","31.83","35.21","Ananiah"
"229","31.83","35.2","Hazor"
"230","31.83","35.3","Jokmeam"
"231","31.83","35.26","Azmaveth"
"232","31.83","35.55","Beth-barah"
"233","31.83","35.09","Chephirah"
"234","31.83","35.39","Achor"
"235","31.83","35.51","Beth-hoglah"
"236","31.83","34.98","Emmaus"
"237","31.84","35.02","Aijalon"
"238","31.84","35.5","Beth-arabah"
"239","31.84","35.18","Gibeon"
"240","31.85","35.93","Mephaath"
"241","31.85","35.1","Elonbeth-hanan"
"242","31.85","35.28","Seneh"
"243","31.85","35.28","Bozez"
"244","31.85","35.25","Geba"
"245","31.85","35.64","Shittim"
"246","31.85","35.12","Ataroth"
"247","31.86","35.51","Gilgal"
"248","31.86","34.74","Jabneel"
"249","31.86","35.34","Ammah"
"250","31.86","35.19","Rekem"
"251","31.86","35.06","Elteke"
"252","31.87","35.27","Michmash"
"253","31.87","34.98","Shaalbim"
"254","31.87","35.44","Jericho"
"255","31.87","34.87","Naamah"
"256","31.87","34.92","Gezer"
"257","31.87","35.12","Beth-horon"
"258","31.88","35.28","Helkath-hazzurim"
"259","31.88","35.2","Secu"
"260","31.88","35.04","Uzzen-sheerah"
"261","31.89","35.25","Beth-aven"
"262","31.89","35.2","Ramah"
